,stockx_link,stockx_name,type_1,type_2,type_3,model,right,r_d,straight,l_d,left,back,Style,Colorway,RetailPrice,ReleaseDate
355,https://stockx.com/nike-air-max-95-day-of-the-dead-2019,Nike Air Max 95 Day of the Dead (2019),Air Max,95,Air Max 95,Air Max 95,"https://stockx-360.imgix.net/Nike-Air-Max-95-Day-of-the-Dead-2019/Images/Nike-Air-Max-95-Day-of-the-Dead-2019/Lv2/img01.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1576268776","https://stockx-360.imgix.net/Nike-Air-Max-95-Day-of-the-Dead-2019/Images/Nike-Air-Max-95-Day-of-the-Dead-2019/Lv2/img04.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1576268776","https://stockx-360.imgix.net/Nike-Air-Max-95-Day-of-the-Dead-2019/Images/Nike-Air-Max-95-Day-of-the-Dead-2019/Lv2/img10.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1576268776","https://stockx-360.imgix.net/Nike-Air-Max-95-Day-of-the-Dead-2019/Images/Nike-Air-Max-95-Day-of-the-Dead-2019/Lv2/img13.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1576268776","https://stockx-360.imgix.net/Nike-Air-Max-95-Day-of-the-Dead-2019/Images/Nike-Air-Max-95-Day-of-the-Dead-2019/Lv2/img19.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1576268776","https://stockx-360.imgix.net/Nike-Air-Max-95-Day-of-the-Dead-2019/Images/Nike-Air-Max-95-Day-of-the-Dead-2019/Lv2/img28.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1576268776",CT1139-001,White/Black-Aluminum,$170,10/25/2019
356,https://stockx.com/nike-air-foamposite-one-all-over-swoosh-black,Nike Air Foamposite One All-Over Swoosh Black,Foamposite,1,Foamposite 1,Air Foamposite One,"https://stockx-360.imgix.net/Nike-Air-Foamposite-One-All-Over-Swoosh-Black/Images/Nike-Air-Foamposite-One-All-Over-Swoosh-Black/Lv2/img01.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1574103819","https://stockx-360.imgix.net/Nike-Air-Foamposite-One-All-Over-Swoosh-Black/Images/Nike-Air-Foamposite-One-All-Over-Swoosh-Black/Lv2/img04.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1574103819","https://stockx-360.imgix.net/Nike-Air-Foamposite-One-All-Over-Swoosh-Black/Images/Nike-Air-Foamposite-One-All-Over-Swoosh-Black/Lv2/img10.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1574103819","https://stockx-360.imgix.net/Nike-Air-Foamposite-One-All-Over-Swoosh-Black/Images/Nike-Air-Foamposite-One-All-Over-Swoosh-Black/Lv2/img13.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1574103819","https://stockx-360.imgix.net/Nike-Air-Foamposite-One-All-Over-Swoosh-Black/Images/Nike-Air-Foamposite-One-All-Over-Swoosh-Black/Lv2/img19.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1574103819","https://stockx-360.imgix.net/Nike-Air-Foamposite-One-All-Over-Swoosh-Black/Images/Nike-Air-Foamposite-One-All-Over-Swoosh-Black/Lv2/img28.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1574103819",CV0369-001,Black/Black-Metallic Silver,$230,12/07/2019
357,https://stockx.com/nike-air-foamposite-one-cracked-lava,Nike Air Foamposite One Cracked Lava,Foamposite,1,Foamposite 1,Air Foamposite One,"https://stockx-360.imgix.net/Nike-Air-Foamposite-One-Cracked-Lava/Images/Nike-Air-Foamposite-One-Cracked-Lava/Lv2/img01.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1581110770","https://stockx-360.imgix.net/Nike-Air-Foamposite-One-Cracked-Lava/Images/Nike-Air-Foamposite-One-Cracked-Lava/Lv2/img04.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1581110770","https://stockx-360.imgix.net/Nike-Air-Foamposite-One-Cracked-Lava/Images/Nike-Air-Foamposite-One-Cracked-Lava/Lv2/img10.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1581110770","https://stockx-360.imgix.net/Nike-Air-Foamposite-One-Cracked-Lava/Images/Nike-Air-Foamposite-One-Cracked-Lava/Lv2/img13.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1581110770","https://stockx-360.imgix.net/Nike-Air-Foamposite-One-Cracked-Lava/Images/Nike-Air-Foamposite-One-Cracked-Lava/Lv2/img19.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1581110770","https://stockx-360.imgix.net/Nike-Air-Foamposite-One-Cracked-Lava/Images/Nike-Air-Foamposite-One-Cracked-Lava/Lv2/img28.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1581110770",314996-014,Black/Bright Crimson,$230,01/19/2020
358,https://stockx.com/nike-air-vapormax-plus-black-noble-red,Nike Air VaporMax Plus Black Noble Red,Air Max,VaporMax,Air Max VaporMax,Air VaporMax Plus,"https://stockx.imgix.net/Nike-Air-VaporMax-Plus-Black-Noble-Red.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1569480821","https://stockx.imgix.net/Nike-Air-VaporMax-Plus-Black-Noble-Red.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1569480821","https://stockx.imgix.net/Nike-Air-VaporMax-Plus-Black-Noble-Red.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1569480821","https://stockx.imgix.net/Nike-Air-VaporMax-Plus-Black-Noble-Red.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1569480821","https://stockx.imgix.net/Nike-Air-VaporMax-Plus-Black-Noble-Red.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1569480821","https://stockx.imgix.net/Nike-Air-VaporMax-Plus-Black-Noble-Red.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1569480821",924453-021,Black/Noble Red-Reflect Silver,$190,09/25/2019
359,https://stockx.com/nike-air-force-1-type-white-gold,Nike Air Force 1 Type White Gold,Air Force,1,Air Force 1,Air Force 1,"https://stockx.imgix.net/Nike-Air-Force-1-Type-White-Gold.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1574103833","https://stockx.imgix.net/Nike-Air-Force-1-Type-White-Gold.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1574103833","https://stockx.imgix.net/Nike-Air-Force-1-Type-White-Gold.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1574103833","https://stockx.imgix.net/Nike-Air-Force-1-Type-White-Gold.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1574103833","https://stockx.imgix.net/Nike-Air-Force-1-Type-White-Gold.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1574103833","https://stockx.imgix.net/Nike-Air-Force-1-Type-White-Gold.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1574103833",AT7859-100,White/Gold Suede-Club Gold-University Gold,$140,10/01/2019
360,https://stockx.com/nike-air-force-1-07-black-white-gum,Nike Air Force 1 '07 Black White Gum,Air Force,1,Air Force 1,Air Force 1,"https://stockx-360.imgix.net/Nike-Air-Force-1-07-Black-White-Gum/Images/Nike-Air-Force-1-07-Black-White-Gum/Lv2/img01.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1578691530","https://stockx-360.imgix.net/Nike-Air-Force-1-07-Black-White-Gum/Images/Nike-Air-Force-1-07-Black-White-Gum/Lv2/img04.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1578691530","https://stockx-360.imgix.net/Nike-Air-Force-1-07-Black-White-Gum/Images/Nike-Air-Force-1-07-Black-White-Gum/Lv2/img10.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1578691530","https://stockx-360.imgix.net/Nike-Air-Force-1-07-Black-White-Gum/Images/Nike-Air-Force-1-07-Black-White-Gum/Lv2/img13.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1578691530","https://stockx-360.imgix.net/Nike-Air-Force-1-07-Black-White-Gum/Images/Nike-Air-Force-1-07-Black-White-Gum/Lv2/img19.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1578691530","https://stockx-360.imgix.net/Nike-Air-Force-1-07-Black-White-Gum/Images/Nike-Air-Force-1-07-Black-White-Gum/Lv2/img28.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1578691530",CI0057-002,Black/White-Wolf Grey-Gum,$90,
361,https://stockx.com/nike-air-force-1-low-fossil,Nike Air Force 1 Low Fossil,Air Force,1,Air Force 1,Air Force 1,"https://stockx-360.imgix.net/Nike-Air-Force-1-Low-Fossil/Images/Nike-Air-Force-1-Low-Fossil/Lv2/img01.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1581110770","https://stockx-360.imgix.net/Nike-Air-Force-1-Low-Fossil/Images/Nike-Air-Force-1-Low-Fossil/Lv2/img04.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1581110770","https://stockx-360.imgix.net/Nike-Air-Force-1-Low-Fossil/Images/Nike-Air-Force-1-Low-Fossil/Lv2/img10.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1581110770","https://stockx-360.imgix.net/Nike-Air-Force-1-Low-Fossil/Images/Nike-Air-Force-1-Low-Fossil/Lv2/img13.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1581110770","https://stockx-360.imgix.net/Nike-Air-Force-1-Low-Fossil/Images/Nike-Air-Force-1-Low-Fossil/Lv2/img19.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1581110770","https://stockx-360.imgix.net/Nike-Air-Force-1-Low-Fossil/Images/Nike-Air-Force-1-Low-Fossil/Lv2/img28.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1581110770",CK4363-200,Fossil/Wheat-Shimmer-Fossil,$110,12/19/2019
362,https://stockx.com/nike-react-element-55-ocean-cube,Nike React Element 55 Ocean Cube,Other,Running,Running,React Element 55,"https://stockx-360.imgix.net/Nike-React-Element-55-Ocean-Cube/Images/Nike-React-Element-55-Ocean-Cube/Lv2/img01.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1579298154","https://stockx-360.imgix.net/Nike-React-Element-55-Ocean-Cube/Images/Nike-React-Element-55-Ocean-Cube/Lv2/img04.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1579298154","https://stockx-360.imgix.net/Nike-React-Element-55-Ocean-Cube/Images/Nike-React-Element-55-Ocean-Cube/Lv2/img10.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1579298154","https://stockx-360.imgix.net/Nike-React-Element-55-Ocean-Cube/Images/Nike-React-Element-55-Ocean-Cube/Lv2/img13.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1579298154","https://stockx-360.imgix.net/Nike-React-Element-55-Ocean-Cube/Images/Nike-React-Element-55-Ocean-Cube/Lv2/img19.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1579298154","https://stockx-360.imgix.net/Nike-React-Element-55-Ocean-Cube/Images/Nike-React-Element-55-Ocean-Cube/Lv2/img28.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1579298154",BQ6166-300,Ocean Cube/Black-Pink Quartz-Blue Hero-Cedar-White,$130,07/05/2019
363,https://stockx.com/nike-air-force-1-low-acg-black,Nike Air Force 1 Low ACG Black,Air Force,1,Air Force 1,Air Force 1,"https://stockx-360.imgix.net/Nike-Air-Force-1-Low-ACG-Black/Images/Nike-Air-Force-1-Low-ACG-Black/Lv2/img01.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1578640623","https://stockx-360.imgix.net/Nike-Air-Force-1-Low-ACG-Black/Images/Nike-Air-Force-1-Low-ACG-Black/Lv2/img04.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1578640623","https://stockx-360.imgix.net/Nike-Air-Force-1-Low-ACG-Black/Images/Nike-Air-Force-1-Low-ACG-Black/Lv2/img10.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1578640623","https://stockx-360.imgix.net/Nike-Air-Force-1-Low-ACG-Black/Images/Nike-Air-Force-1-Low-ACG-Black/Lv2/img13.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1578640623","https://stockx-360.imgix.net/Nike-Air-Force-1-Low-ACG-Black/Images/Nike-Air-Force-1-Low-ACG-Black/Lv2/img19.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1578640623","https://stockx-360.imgix.net/Nike-Air-Force-1-Low-ACG-Black/Images/Nike-Air-Force-1-Low-ACG-Black/Lv2/img28.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1578640623",CD0887-001,Black/Pink-Blue,,01/11/2020
364,https://stockx.com/nike-air-max-uptempo-95-white-photo-blue-black,Nike Air Max Uptempo 95 White Photo Blue Black,Basketball,Other,Basketball,Air Max Uptempo,"https://stockx-360.imgix.net/Nike-Air-Max-Uptempo-95-White-Photo-Blue-Black/Images/Nike-Air-Max-Uptempo-95-White-Photo-Blue-Black/Lv2/img01.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1574449122","https://stockx-360.imgix.net/Nike-Air-Max-Uptempo-95-White-Photo-Blue-Black/Images/Nike-Air-Max-Uptempo-95-White-Photo-Blue-Black/Lv2/img04.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1574449122","https://stockx-360.imgix.net/Nike-Air-Max-Uptempo-95-White-Photo-Blue-Black/Images/Nike-Air-Max-Uptempo-95-White-Photo-Blue-Black/Lv2/img10.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1574449122","https://stockx-360.imgix.net/Nike-Air-Max-Uptempo-95-White-Photo-Blue-Black/Images/Nike-Air-Max-Uptempo-95-White-Photo-Blue-Black/Lv2/img13.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1574449122","https://stockx-360.imgix.net/Nike-Air-Max-Uptempo-95-White-Photo-Blue-Black/Images/Nike-Air-Max-Uptempo-95-White-Photo-Blue-Black/Lv2/img19.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1574449122","https://stockx-360.imgix.net/Nike-Air-Max-Uptempo-95-White-Photo-Blue-Black/Images/Nike-Air-Max-Uptempo-95-White-Photo-Blue-Black/Lv2/img28.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1574449122",CK0892-103,White/Photo Blue-Black,$150,09/10/2019
